id,state,state_code,date,date_precision,headline,category,summary,source_name,source_url,entities,also_reported_by,notes
AUTO-001,Karnataka,KA,2026-07-15,day,Karnataka to roll out comprehensive data centre policy to support infra requirements of AI,Policy/Strategy,Karnataka will soon unveil a comprehensive data centre policy to support AI infrastructure needs. This policy aims to create essential digital infrastructure for AI-led innovation and advanced computing. The state is also establishing India's first public sec…,The Times of India,https://economictimes.indiatimes.com/tech/artificial-intelligence/karnataka-to-roll-out-comprehensive-data-centre-policy-to-support-infra-requirements-of-ai/articleshow/132414357.cms,,,"auto-fetched via NewsAPI; heuristic categorization, unverified"
AUTO-002,Tamil Nadu,TN,2026-08-05,day,"Tamil Nadu Budget 2026: Government bets big on AI for education, governance and industrial growth",Budget & Funding,"In the Revised Budget Estimates, an amount of ₹398 crore has been allocated to the Artificial Intelligence, Information Technology and Digital Services Department",BusinessLine,https://www.thehindubusinessline.com/news/national/tamil-nadu-budget-2026-government-bets-big-on-ai-for-education-governance-and-industrial-growth/article71308511.ece,,,"auto-fetched via NewsAPI; heuristic categorization, unverified"
AUTO-003,Tamil Nadu,TN,2026-08-05,day,"Tamil Nadu targets industrial push with new policy, AI-powered investor services and ₹3,200-crore industrial parks",Budget & Funding,"For the MSME sector, the Budget earmarks ₹225 crore under the Tamil Nadu Women Entrepreneurs Empowerment Scheme and ₹352 crore under the Capital Subsidy Scheme",BusinessLine,https://www.thehindubusinessline.com/news/national/tamil-nadu-targets-industrial-push-with-new-policy-ai-powered-investor-services-and-3200-crore-industrial-parks/article71308737.ece,,,"auto-fetched via NewsAPI; heuristic categorization, unverified"
AUTO-004,Tamil Nadu,TN,2026-08-07,day,Solinas Integrity Raises $5.5 Million in Series A1 Funding Led by Mela Ventures,Governance Deployment,"The Chennai-based, IIT Madras-incubated deep-tech company deploys robotics and AI to transform India’s underground water and sanitation infrastructure",BusinessLine,https://www.thehindubusinessline.com/brandhub/pr-release/solinas-integrity-raises-55-million-in-series-a1-funding-led-by-mela-ventures/article71316371.ece,,,"auto-fetched via NewsAPI; heuristic categorization, unverified"
